onet_soc,soc_6digit,census_2010,matched
51-2011.00,51-2011,7710.0,True
51-2021.00,51-2021,7720.0,True
51-2022.00,51-2022,7720.0,True
51-2023.00,51-2023,7720.0,True
51-2031.00,51-2031,7730.0,True
51-2041.00,51-2041,7740.0,True
51-2051.00,51-2051,7710.0,True
51-2061.00,51-2061,7710.0,True
51-2092.00,51-2092,7710.0,True
51-3011.00,51-3011,7800.0,True
51-3021.00,51-3021,7810.0,True
51-3022.00,51-3022,7810.0,True
51-3023.00,51-3023,7810.0,True
51-3091.00,51-3091,7830.0,True
51-3092.00,51-3092,7840.0,True
51-3093.00,51-3093,7850.0,True
51-4021.00,51-4021,7900.0,True
51-4022.00,51-4022,7900.0,True
51-4023.00,51-4023,7900.0,True
51-4031.00,51-4031,7950.0,True
51-4032.00,51-4032,7900.0,True
51-4033.00,51-4033,8000.0,True
51-4034.00,51-4034,7900.0,True
51-4035.00,51-4035,7900.0,True
51-4041.00,51-4041,8030.0,True
51-4051.00,51-4051,8040.0,True
51-4052.00,51-4052,8040.0,True
51-4061.00,51-4061,8060.0,True
51-4062.00,51-4062,8060.0,True
51-4071.00,51-4071,8100.0,True
51-4072.00,51-4072,8100.0,True
51-4081.00,51-4081,7900.0,True
51-4111.00,51-4111,8130.0,True
51-4121.00,51-4121,8140.0,True
51-4122.00,51-4122,8140.0,True
51-4191.00,51-4191,8130.0,True
51-4192.00,51-4192,8130.0,True
51-4193.00,51-4193,8130.0,True
51-4194.00,51-4194,8130.0,True
51-5111.00,51-5111,8250.0,True
51-5112.00,51-5112,8255.0,True
51-5113.00,51-5113,8256.0,True
51-6011.00,51-6011,8300.0,True
51-6021.00,51-6021,8310.0,True
51-6031.00,51-6031,8320.0,True
51-6041.00,51-6041,8320.0,True
51-6042.00,51-6042,8320.0,True
51-6051.00,51-6051,8350.0,True
51-6052.00,51-6052,8350.0,True
51-6061.00,51-6061,8350.0,True
51-6062.00,51-6062,8350.0,True
51-6063.00,51-6063,8350.0,True
51-6064.00,51-6064,8350.0,True
51-6091.00,51-6091,8300.0,True
51-6092.00,51-6092,8300.0,True
51-6093.00,51-6093,8450.0,True
51-7011.00,51-7011,8500.0,True
51-7021.00,51-7021,8510.0,True
51-7031.00,51-7031,8500.0,True
51-7032.00,51-7032,8500.0,True
51-7041.00,51-7041,8530.0,True
51-7042.00,51-7042,8540.0,True
51-8011.00,51-8011,8600.0,True
51-8012.00,51-8012,8600.0,True
51-8013.00,51-8013,8600.0,True
51-8013.03,51-8013,8600.0,True
51-8013.04,51-8013,8600.0,True
51-8021.00,51-8021,8610.0,True
51-8031.00,51-8031,8620.0,True
51-8091.00,51-8091,8630.0,True
51-8092.00,51-8092,8630.0,True
51-8093.00,51-8093,8630.0,True
51-8099.01,51-8099,8630.0,True
51-9011.00,51-9011,8640.0,True
51-9012.00,51-9012,8640.0,True
51-9021.00,51-9021,8650.0,True
51-9022.00,51-9022,8650.0,True
51-9023.00,51-9023,8650.0,True
51-9031.00,51-9031,8710.0,True
51-9032.00,51-9032,8710.0,True
51-9041.00,51-9041,8720.0,True
51-9051.00,51-9051,8730.0,True
51-9061.00,51-9061,8740.0,True
51-9071.00,51-9071,8750.0,True
51-9071.06,51-9071,8750.0,True
51-9081.00,51-9081,8760.0,True
51-9082.00,51-9082,8760.0,True
51-9083.00,51-9083,8760.0,True
51-9111.00,51-9111,8800.0,True
51-9123.00,51-9123,8810.0,True
51-9124.00,51-9124,8810.0,True
51-9141.00,51-9141,7900.0,True
51-9151.00,51-9151,8830.0,True
51-9161.00,51-9161,7900.0,True
51-9162.00,51-9162,7900.0,True
51-9191.00,51-9191,8850.0,True
51-9192.00,51-9192,7900.0,True
51-9193.00,51-9193,7900.0,True
51-9194.00,51-9194,8910.0,True
51-9195.00,51-9195,8920.0,True
51-9195.03,51-9195,8920.0,True
51-9195.04,51-9195,8920.0,True
51-9195.05,51-9195,8920.0,True
51-9196.00,51-9196,8930.0,True
51-9197.00,51-9197,8940.0,True
51-9198.00,51-9198,8950.0,True
53-1041.00,53-1041,9000.0,True
53-1042.00,53-1042,9000.0,True
53-1042.01,53-1042,9000.0,True
53-1043.00,53-1043,9000.0,True
53-2011.00,53-2011,9030.0,True
53-2012.00,53-2012,9030.0,True
53-2021.00,53-2021,9040.0,True
53-2022.00,53-2022,9040.0,True
53-2031.00,53-2031,9050.0,True
53-3011.00,53-3011,9110.0,True
53-3031.00,53-3031,9130.0,True
53-3032.00,53-3032,9130.0,True
53-3033.00,53-3033,9130.0,True
53-3051.00,53-3051,9120.0,True
53-3052.00,53-3052,9120.0,True
53-3053.00,53-3053,9140.0,True
53-4011.00,53-4011,9200.0,True
53-4013.00,53-4013,9200.0,True
53-4022.00,53-4022,9200.0,True
53-4031.00,53-4031,9240.0,True
53-4041.00,53-4041,9200.0,True
53-5011.00,53-5011,9300.0,True
53-5021.00,53-5021,9310.0,True
53-5022.00,53-5022,9310.0,True
53-5031.00,53-5031,9330.0,True
53-6011.00,53-6011,9350.0,True
53-6021.00,53-6021,9350.0,True
53-6031.00,53-6031,9360.0,True
53-6041.00,53-6041,9350.0,True
53-6051.00,53-6051,9410.0,True
53-6051.01,53-6051,9410.0,True
53-6051.07,53-6051,9410.0,True
53-6061.00,53-6061,9415.0,True
53-7011.00,53-7011,5620.0,True
53-7021.00,53-7021,9510.0,True
53-7031.00,53-7031,5620.0,True
53-7041.00,53-7041,5620.0,True
53-7051.00,53-7051,9600.0,True
53-7061.00,53-7061,9610.0,True
53-7062.00,53-7062,9620.0,True
53-7062.04,53-7062,9620.0,True
53-7063.00,53-7063,9630.0,True
53-7064.00,53-7064,9640.0,True
53-7065.00,53-7065,5620.0,True
53-7071.00,53-7071,9650.0,True
53-7072.00,53-7072,9650.0,True
53-7073.00,53-7073,9650.0,True
53-7081.00,53-7081,9720.0,True
53-7121.00,53-7121,9720.0,True
