SOC_2018,Census_2010,Census_2018,Title_2018
21-1029,2010,2014,"Social Workers, All Other"
21-1092,2015,2015,Probation Officers and Correctional Treatment Specialists
21-1093,2016,2016,Social and Human Service Assistants
21-109X,2025,2025,Other Community and Social Service Specialists
21-2011,2040,2040,Clergy
21-2021,2050,2050,"Directors, Religious Activities and Education"
21-2099,2060,2060,"Religious Workers, All Other"
23-1011,2100,2100,Lawyers
23-1012,2105,2105,Judicial Law Clerks
23-1020,2110,2110,"Judges, Magistrates, and Other Judicial Workers"
23-2011,2145,2145,Paralegals and Legal Assistants
27-3092,2160,2862,Court Reporters and Simultaneous Captioners
23-2093,2160,2170,"Title Examiners, Abstractors, and Searchers"
23-2099,2160,2180,"Legal Support Workers, All Other"
25-1000,2200,2205,Postsecondary Teachers
25-2010,2300,2300,Preschool and Kindergarten Teachers
25-2020,2310,2310,Elementary and Middle School Teachers
25-2030,2320,2320,Secondary School Teachers
25-2050,2330,2330,Special Education Teachers
25-3041,2340,2350,Tutors
25-30XX,2340,2360,Other Teachers and Instructors
25-4010,2400,2400,"Archivists, Curators, and Museum Technicians"
25-4022,2430,2435,Librarians and Media Collections Specialists
25-4031,2440,2440,Library Technicians
25-9040,2540,2545,Teaching Assistants
25-90XX,2550,2555,Other Educational Instruction and Library Workers
27-1010,2600,2600,Artists and Related Workers
27-1021,2630,2631,Commercial and Industrial Designers
27-1022,2630,2632,Fashion Designers
27-1023,2630,2633,Floral Designers
27-1024,2630,2634,Graphic Designers
27-1025,2630,2635,Interior Designers
27-1026,2630,2636,Merchandise Displayers and Window Trimmers
27-102X,2630,2640,Other Designers
27-2011,2700,2700,Actors
27-2012,2710,2710,Producers and Directors
27-2021,2720,2721,Athletes and Sports Competitors
27-2022,2720,2722,Coaches and Scouts
27-2023,2720,2723,"Umpires, Referees, and Other Sports Officials"
27-2030,2740,2740,Dancers and Choreographers
27-2041,2750,2751,Music Directors and Composers
27-2042,2750,2752,Musicians and Singers
27-2091,2750,2755,"Disc jockeys, except radio "
27-2099,2760,2770,"Entertainers and Performers, Sports and Related Workers, All Other"
27-3011,2800,2805,Broadcast Announcers and Radio Disc Jockeys
27-3023,2810,2810,"News Analysts, Reporters, and Journalists"
27-3031,2825,2825,Public Relations Specialists
27-3041,2830,2830,Editors
