occ1990dd,csh,rti
4,-0.09112524106962926,-0.5086508989334106
7,-0.009204973052399723,2.0573010444641113
8,-0.06369206274115391,0.2507205009460449
13,-0.05764040170567261,0.8974677324295044
14,-0.07915358682820996,0.17690634727478027
15,-0.08673000563618127,-0.16490471363067627
18,-0.043879040243558175,-1.2907969951629639
19,-0.037880836595284226,
22,-0.07798963918538798,-0.539115309715271
23,0.04519984944682358,3.889500141143799
24,0.06297956277241264,3.9175639152526855
25,0.06862363766934432,1.7950334548950195
26,-0.027135182295208476,-0.11755108833312988
27,-0.06260276568075103,0.2722562551498413
28,0.018632800877092733,5.219189167022705
29,-0.015488911379863876,1.471820592880249
33,0.008710381729967702,0.8223642110824585
34,-0.0260407959490588,-1.0597116947174072
35,-0.06823656221106993,-0.5708662271499634
36,-0.0010878017335102415,0.11107838153839111
37,-0.03135654457267404,-0.5545545816421509
43,-0.06988509077258892,1.8605632781982422
44,-0.054090578889089865,-0.5548478364944458
45,-0.08649418611027718,-0.03126406669616699
47,-0.08369202229803169,0.563011884689331
48,-0.050513515520403715,0.8882243633270264
53,-0.09280177132440792,-0.8984591960906982
55,-0.054561638163175497,-1.1951754093170166
56,-0.0783228222174504,-0.3686932325363159
57,-0.06562498940156186,1.214045763015747
59,-0.05283225342411013,-0.23840248584747314
64,-0.059123482627838356,-0.9500283598899841
65,-0.058063259314057036,-0.774467945098877
66,-0.010250027019241237,
69,-0.075767518259724,1.6833882331848145
73,-0.04412272504499823,0.8515336513519287
74,-0.09506309354138764,
75,-0.1275767252222762,-0.5789322853088379
76,-0.1275767252222762,
77,-0.07943557497427675,-0.275581955909729
78,-0.061223334922028645,0.04016447067260742
79,-0.11322890148329268,-1.7573974132537842
83,-0.06246849598321992,-0.0466914176940918
84,-0.08352150340886717,-1.0815227031707764
85,-0.05093991791477359,-0.8656032085418701
86,-0.060818853053335925,2.303593635559082
87,-0.09075046504153335,
88,-0.06507449659087568,0.6467716693878174
89,-0.06801089381272313,-1.6739764213562012
95,-0.08032663903949644,-0.12166821956634521
96,-0.02268440616436552,
97,-0.06380395876971437,
98,-0.060493524954166225,-0.27947866916656494
99,-0.0757699958876015,-0.27947866916656494
103,-0.07058905349922448,-0.27947866916656494
104,-0.08740149551567226,-0.27947866916656494
105,-0.09836800926909063,-0.27947866916656494
154,-0.07907216918745058,-0.24218666553497314
155,-0.11186200617460543,-1.6545650959014893
156,-0.11443852168450203,-1.486024022102356
157,-0.11165111069778141,-1.2314343452453613
158,-0.11865588076440763,-0.9216026067733765
159,-0.10162612444465795,-1.1546227931976318
